series,Units,date,price
Niger (6 kg cylinder),XOF/cylinder,2016-03-01,1800.0
Niger (per kg),XOF/kg,2016-03-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-03-01,1800.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-03-01,1858.33333333333
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-03-01,1950.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-03-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-03-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-03-01,1800.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-03-01,13.693448387096774
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-03-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-03-01,13.693448387096774
Thailand (LPG industry) - Retail Price,Baht/kg,2016-03-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-03-01,13.693448387096774
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-03-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-03-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-03-01,3120.0
Uruguay,UYU/kg,2016-03-01,35.0
Angola (LPG) ,kwanzas/kg,2016-04-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-04-01,83.76
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-04-01,53.679
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-04-01,58.006
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-04-01,49.907
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-04-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-04-01,6660.29411764706
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-04-01,6527.94117647059
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-04-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-04-01,8.0
